field_pid,nid,mods_subject_authority_fast_topic_ms
umkc:13619,5108,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13635,5093,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13636,5092,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13637,5091,"subject:Musicians, subject:Country musicians, subject:Radio programs\, Musical"
umkc:13638,5090,subject:Radio stations--Employees
umkc:13639,5089,"subject:Musicians, subject:Country musicians, subject:Radio programs\, Musical"
umkc:13640,5088,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13641,5087,"subject:Radio stations--Employees, subject:Radio stations--Equipment and supplies"
umkc:13642,5086,subject:Radio stations--Employees
umkc:13643,5085,subject:Radio stations--Employees
umkc:13644,5084,subject:Radio stations--Equipment and supplies
umkc:13645,5083,"subject:Radio stations--Employees, subject:Radio stations--Equipment and supplies"
umkc:13634,5094,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13633,5095,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical, subject:Parades"
umkc:13632,5096,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13620,5107,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13622,5106,subject:Billboards
umkc:13623,5105,subject:Radio stations--Employees
umkc:13624,5104,"subject:Radio stations--Employees, subject:Auditoriums"
umkc:13625,5103,"subject:Radio broadcasting, subject:Radio and television towers"
umkc:13626,5102,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical, subject:Auditoriums"
umkc:13627,5101,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical, subject:Auditoriums"
umkc:13628,5100,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13629,5099,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13630,5098,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13631,5097,"subject:Radio stations--Employees, subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13646,5082,subject:Radio stations--Employees
umkc:13647,5081,"subject:Radio broadcasting, subject:Radio and television towers"
umkc:13662,5066,subject:Radio stations--Employees
umkc:13663,5065,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13664,5064,"subject:Political conventions, subject:Radio stations--Employees"
umkc:13665,5063,subject:Radio stations--Employees
umkc:13666,5062,subject:Radio stations--Employees
umkc:13667,5061,subject:Radio stations--Employees
umkc:13668,5060,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13669,5059,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13671,5057,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13672,5056,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13673,5055,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13661,5067,subject:Stenographers
umkc:13660,5068,"subject:Radio stations, subject:Auditoriums, subject:Historic buildings"
umkc:13659,5069,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13648,5080,"subject:Radio broadcasting, subject:Radio and television towers"
umkc:13649,5079,"subject:Radio stations--Employees, subject:Advertising executives"
umkc:13650,5078,"subject:Radio stations, subject:Historic buildings"
umkc:13651,5077,"subject:Radio stations, subject:Historic buildings"
umkc:13652,5076,"subject:Radio stations, subject:Auditoriums, subject:Historic buildings"
umkc:13653,5075,"subject:Radio stations, subject:Historic buildings"
umkc:13654,5074,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13655,5073,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13656,5072,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13657,5071,"subject:Actresses, subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
umkc:13658,5070,"subject:Musicians, subject:Country musicians, subject:Musical groups, subject:Radio programs\, Musical"
